id,customer_id,store_id,order_date,total_amount,status
1,879,6,2025-10-17 16:07:31.102256+00:00,2729.9,delivered
2,538,5,2026-04-02 16:39:31.102256+00:00,1226.8,processing
3,349,8,2025-09-04 21:40:31.102256+00:00,256.54,delivered
4,742,1,2026-01-29 21:39:31.102256+00:00,3339.9,shipped
5,320,1,2026-05-31 04:05:31.102256+00:00,1985.44,processing
6,153,3,2026-04-05 22:35:31.102256+00:00,324.98,shipped
7,278,3,2026-03-12 08:32:31.102256+00:00,1975.88,delivered
8,722,10,2026-06-03 13:41:31.102256+00:00,5275.16,delivered
9,135,2,2025-06-14 11:16:31.102256+00:00,1621.87,delivered
10,682,6,2026-04-15 02:54:31.102256+00:00,4229.78,delivered
11,570,2,2025-11-21 22:32:31.102256+00:00,512.14,delivered
12,834,10,2026-04-16 15:39:31.102256+00:00,2312.77,shipped
13,613,2,2026-05-21 13:48:31.102256+00:00,1335.65,processing
14,774,1,2026-05-27 06:55:31.102256+00:00,4676.79,shipped
15,966,7,2025-08-24 15:54:31.102256+00:00,7680.72,delivered
16,882,5,2025-11-19 14:45:31.102256+00:00,552.88,delivered
17,446,9,2026-01-15 13:28:31.102256+00:00,933.99,processing
18,296,3,2025-08-07 12:43:31.102256+00:00,1288.79,delivered
19,141,7,2026-02-05 21:47:31.102256+00:00,7724.55,delivered
20,730,9,2026-03-23 02:37:31.102256+00:00,3769.97,shipped
21,625,2,2026-03-18 08:56:31.102256+00:00,1442.25,processing
22,525,8,2025-12-15 10:23:31.102256+00:00,1269.07,delivered
23,804,10,2026-02-24 16:06:31.102256+00:00,3561.79,shipped
24,136,10,2026-03-21 17:36:31.102256+00:00,5965.75,shipped
25,87,3,2025-12-04 00:31:31.102256+00:00,1945.8,delivered
26,172,8,2025-12-26 22:49:31.102256+00:00,3865.04,shipped
27,892,7,2026-03-28 21:19:31.102256+00:00,5676.25,pending
28,599,7,2025-12-01 17:11:31.102256+00:00,864.0,delivered
29,422,2,2026-01-30 23:52:31.102256+00:00,5736.44,shipped
30,125,2,2025-11-09 06:12:31.102256+00:00,9932.07,delivered
31,465,5,2026-03-30 23:12:31.102256+00:00,1925.55,delivered
32,452,2,2026-05-09 17:41:31.102256+00:00,6393.85,shipped
33,510,3,2025-12-16 00:55:31.102256+00:00,38.0,delivered
34,4,9,2026-01-20 13:16:31.102256+00:00,7060.01,delivered
35,581,9,2025-11-21 10:45:31.102256+00:00,793.75,delivered
36,862,8,2026-03-14 15:47:31.102256+00:00,17.95,delivered
37,713,7,2026-04-16 19:33:31.102256+00:00,6343.93,delivered
38,812,9,2026-05-12 13:48:31.102256+00:00,1008.25,delivered
